,Date,AAPL,ACN,AMD,AMZN,COST,DIS,F,GILD,JPM,KO,LUV,MA,MSFT,NVDA,PFE,RGS,SOS,TSLA,UNH,XOM
0,1962-01-02,,,,,,0.0583984777331352,,,,0.0492856316268444,,,,,,,,,,0.0974520966410636
1,1962-01-03,,,,,,0.0591822452843189,,,,0.0481875464320182,,,,,,,,,,0.0988995060324668
2,1962-01-04,,,,,,0.0591822452843189,,,,0.0485537461936473,,,,,,,,,,0.0991406515240669
3,1962-01-05,,,,,,0.0593783818185329,,,,0.0474556609988212,,,,,,,,,,0.096969723701477
4,1962-01-08,,,,,,0.0591822452843189,,,,0.046967726200819,,,,,,,,,,0.0967284142971038
5,1962-01-09,,,,,,0.0603583119809627,,,,0.0478216297924518,,,,,,,,,,0.0964872539043426
6,1962-01-10,,,,,,0.0609459914267063,,,,0.0480655618011951,,,,,,,,,,0.09600480645895
7,1962-01-11,,,,,,0.0627097189426422,,,,0.0485537461936473,,,,,,,,,,0.096969723701477
8,1962-01-12,,,,,,0.0607504956424236,,,,0.0481875464320182,,,,,,,,,,0.0984169393777847
9,1962-01-15,,,,,,0.0607504956424236,,,,0.0476996339857578,,,,,,,,,,0.0984169393777847
10,1962-01-16,,,,,,0.0591822452843189,,,,0.0468457303941249,,,,,,,,,,0.0976933240890502
11,1962-01-17,,,,,,0.0572230219841003,,,,0.045381911098957,,,,,,,,,,0.0972108915448188
12,1962-01-18,,,,,,0.0583984777331352,,,,0.0444669239223003,,,,,,,,,,0.0974520966410636
13,1962-01-19,,,,,,0.0595744922757148,,,,0.0458698198199272,,,,,,,,,,0.098175823688507
14,1962-01-22,,,,,,0.0605544261634349,,,,0.0462357960641384,,,,,,,,,,0.0984169393777847
15,1962-01-23,,,,,,0.0603583119809627,,,,0.0452597215771675,,,,,,,,,,0.0976933240890502
16,1962-01-24,,,,,,0.0595744922757148,,,,0.0447717756032943,,,,,,,,,,0.0976933240890502
17,1962-01-25,,,,,,0.0587906613945961,,,,0.0444058068096637,,,,,,,,,,0.0979345366358757
18,1962-01-26,,,,,,0.0583984777331352,,,,0.0439178794622421,,,,,,,,,,0.0984169393777847
19,1962-01-29,,,,,,0.0583984777331352,,,,0.0439178794622421,,,,,,,,,,0.0998643115162849
20,1962-01-30,,,,,,0.0587906613945961,,,,0.043734822422266,,,,,,,,,,0.1008291840553283
21,1962-01-31,,,,,,0.0587906613945961,,,,0.0455038771033287,,,,,,,,,,0.1022765189409256
22,1962-02-01,,,,,,0.0595744922757148,,,,0.0458698198199272,,,,,,,,,,0.1042062118649482
23,1962-02-02,,,,,,0.0595744922757148,,,,0.04635776206851,,,,,,,,,,0.1063771396875381
24,1962-02-05,,,,,,0.0595744922757148,,,,0.04635776206851,,,,,,,,,,0.1073420718312263
25,1962-02-06,,,,,,0.0591822452843189,,,,0.0457478687167167,,,,,,,,,,0.1058947667479515
26,1962-02-07,,,,,,0.0599667131900787,,,,0.045991837978363,,,,,,,,,,0.1068214997649192
27,1962-02-08,,,,,,0.061534360051155,,,,0.0461138375103473,,,,,,,,,,0.1068214997649192
28,1962-02-09,,,,,,0.0619259588420391,,,,0.04635776206851,,,,,,,,,,0.1056020855903625
29,1962-02-12,,,,,,0.0619259588420391,,,,0.045991837978363,,,,,,,,,,0.1058459505438804
30,1962-02-13,,,,,,0.0619259588420391,,,,0.045991837978363,,,,,,,,,,0.1051143556833267
31,1962-02-14,,,,,,0.0611420907080173,,,,0.0451377518475055,,,,,,,,,,0.1063337177038192
32,1962-02-15,,,,,,0.061534360051155,,,,0.0448937751352787,,,,,,,,,,0.106577567756176
33,1962-02-16,,,,,,0.0627097189426422,,,,0.0448937751352787,,,,,,,,,,0.1068214997649192
34,1962-02-19,,,,,,0.0617304481565952,,,,0.0456258989870548,,,,,,,,,,0.1085287109017372
35,1962-02-20,,,,,,0.0623181462287902,,,,0.045381911098957,,,,,,,,,,0.1090165600180625
36,1962-02-21,,,,,,0.061534360051155,,,,0.0451377518475055,,,,,,,,,,0.1073092967271804
37,1962-02-23,,,,,,0.0611420907080173,,,,0.044649813324213,,,,,,,,,,0.1075531393289566
38,1962-02-26,,,,,,0.0595744922757148,,,,0.045381911098957,,,,,,,,,,0.1068214997649192
39,1962-02-27,,,,,,0.0591822452843189,,,,0.0456258989870548,,,,,,,,,,0.1077970340847969
40,1962-02-28,,,,,,0.0585945546627044,,,,0.0447717756032943,,,,,,,,,,0.1080409288406372
41,1962-03-01,,,,,,0.0601621903479099,,,,0.0445278026163578,,,,,,,,,,0.1087726056575775
42,1962-03-02,,,,,,0.0597705990076065,,,,0.0450157597661018,,,,,,,,,,0.1077970340847969
43,1962-03-05,,,,,,0.0599667131900787,,,,0.0444058068096637,,,,,,,,,,0.1073092967271804
44,1962-03-06,,,,,,0.0591822452843189,,,,0.045381911098957,,,,,,,,,,0.1070653796195983
45,1962-03-07,,,,,,0.0587906613945961,,,,0.0447717756032943,,,,,,,,,,0.106577567756176
46,1962-03-08,,,,,,0.0597705990076065,,,,0.0448937751352787,,,,,,,,,,0.1048705205321312
47,1962-03-09,,,,,,0.0595744922757148,,,,0.0444058068096637,,,,,,,,,,0.1056020855903625
48,1962-03-12,,,,,,0.0607504956424236,,,,0.045381911098957,,,,,,,,,,0.1048705205321312
49,1962-03-13,,,,,,0.0618899166584014,,,,0.0461063161492347,,,,,,,,,,0.1051143556833267
50,1962-03-14,,,,,,0.0613000355660915,,,,0.0461677722632885,,,,,,,,,,0.1058459505438804
